missing,-0.282,-0.3876,-0.3,-0.3876,-0.282
morons,-0.656,-0.1478,-0.325,-0.656,-0.1478
murdered,-0.938,-0.2066,-0.85,-0.938,-0.2066
nasty,-0.688,-0.2494,-0.65,-0.688,-0.2494
neurotic,-0.5,0.0098,-0.35,-0.5,0.0098
nice,0.718,0.1948,0.45,0.1948,0.718
nicely,0.626,0.2508,0.475,0.2508,0.626
np,0.188,0.3406,0.35,0.188,0.35
offense,-0.266,0.092,-0.25,-0.266,0.092
offensive,-0.624,-0.0682,-0.5,-0.624,-0.0682
ok,0.188,0.0532,0.4,0.0532,0.4
okay,0.376,0.056,0.225,0.056,0.376
party,0.688,0.0672,0.425,0.0672,0.688
pathetic,-0.86,-0.2226,-0.675,-0.86,-0.2226
pay,-0.016,0.1066,-0.1,-0.1,0.1066
peace,0.546,0.107,0.625,0.107,0.625
perfect,0.766,0.1958,0.675,0.1958,0.766
perfection,0.89,0.2588,0.675,0.2588,0.89
play,0.672,-0.0006,0.35,-0.0006,0.672
playing,0.344,0.064,0.2,0.064,0.344
pleasant,0.782,0.1626,0.575,0.1626,0.782
pleasantly,0.484,0.5724,0.525,0.484,0.5724
please,0.422,0.0108,0.325,0.0108,0.422
pleased,0.704,0.211,0.475,0.211,0.704
pleasure,0.656,0.399,0.675,0.399,0.675
poor,-0.546,-0.4508,-0.525,-0.546,-0.4508
positive,0.844,0.2234,0.65,0.2234,0.844
pretty,0.766,0.1012,0.55,0.1012,0.766
promote,0.532,0.2464,0.4,0.2464,0.532
ready,0.516,0.0568,0.375,0.0568,0.516
recommend,0.468,0.2566,0.375,0.2566,0.468
recommended,0.484,0.2536,0.2,0.2,0.484
recommends,0.328,0.7228,0.225,0.225,0.7228
reject,-0.922,-0.1344,-0.425,-0.922,-0.1344
relaxed,0.688,0.2464,0.55,0.2464,0.688
relaxing,0.812,0.209,0.55,0.209,0.812
relieve,0.516,0.4628,0.375,0.375,0.516
respect,0.688,0.0964,0.525,0.0964,0.688
rich,0.218,0.036,0.65,0.036,0.65
ridiculous,-0.454,-0.1006,-0.375,-0.454,-0.1006
rotten,-0.734,-0.2326,-0.575,-0.734,-0.2326
rude,-0.64,-0.1208,-0.5,-0.64,-0.1208
ruining,-0.704,-0.2752,-0.25,-0.704,-0.25
sad,-0.562,-0.547,-0.525,-0.562,-0.525
sadly,-0.266,-0.4646,-0.45,-0.4646,-0.266
safe,0.562,0.157,0.475,0.157,0.562
satisfied,0.532,0.2124,0.45,0.2124,0.532
scare,-0.484,-0.0692,-0.55,-0.55,-0.0692
scary,-0.296,-0.127,-0.55,-0.55,-0.127
selfish,-0.468,-0.1286,-0.525,-0.525,-0.1286
serious,0.094,-0.08,-0.075,-0.08,0.094
seriously,0.156,-0.0928,-0.175,-0.175,0.156
shameful,-0.61,-0.1666,-0.55,-0.61,-0.1666
share,0.532,0.166,0.3,0.166,0.532
sharing,0.61,0.3452,0.45,0.3452,0.61
shit,-0.75,-0.1732,-0.65,-0.75,-0.1732
shocking,-0.406,-0.112,-0.425,-0.425,-0.112
sick,-0.718,-0.4328,-0.575,-0.718,-0.4328
sinister,-0.796,0.2388,-0.725,-0.796,0.2388
smartass,-0.688,0.368,-0.525,-0.688,0.368
smh,-0.172,-0.237,-0.325,-0.325,-0.172
smile,0.688,0.3758,0.375,0.375,0.688
smiles,0.734,0.4152,0.525,0.4152,0.734
smiling,0.672,0.3832,0.5,0.3832,0.672
sore,-0.454,-0.3636,-0.375,-0.454,-0.3636
sorry,-0.344,-0.2476,-0.075,-0.344,-0.075
stimulate,0.61,0.1848,0.225,0.1848,0.61
stinks,-0.75,-0.3988,-0.25,-0.75,-0.25
stop,0,-0.0728,-0.3,-0.3,0
stunk,-0.438,-0.418,-0.4,-0.438,-0.4
sucks,-0.874,-0.4188,-0.375,-0.874,-0.375
sunny,0.688,0.074,0.45,0.074,0.688
sunshine,0.796,0.1062,0.55,0.1062,0.796
superb,0.812,0.3268,0.775,0.3268,0.812
support,0.672,0.0756,0.425,0.0756,0.672
sure,0.422,0.1068,0.325,0.1068,0.422
surprises,0.39,0.219,0.225,0.219,0.39
swear,-0.328,-0.078,-0.05,-0.328,-0.05
sweet,0.782,0.2508,0.5,0.2508,0.782
terrible,-0.704,-0.3532,-0.525,-0.704,-0.3532
terrific,0.656,0.2832,0.525,0.2832,0.656
thank,0.578,0.3958,0.375,0.375,0.578
thanks,0.468,0.352,0.475,0.352,0.475
thrilled,0.812,0.1598,0.475,0.1598,0.812
thx,0.546,0.3268,0.375,0.3268,0.546
tired,-0.218,-0.1786,-0.475,-0.475,-0.1786
tnx,0.344,0.4006,0.275,0.275,0.4006
top,0.328,0.0668,0.2,0.0668,0.328
tragedy,-0.906,-0.3186,-0.85,-0.906,-0.3186
truth,0.656,0.063,0.325,0.063,0.656
ugh,-0.282,-0.4196,-0.45,-0.45,-0.282
ugly,-0.828,-0.1798,-0.575,-0.828,-0.1798
unacceptable,-0.922,-0.2674,-0.5,-0.922,-0.2674
unattractive,-0.484,-0.1286,-0.475,-0.484,-0.1286
unfair,-0.282,-0.482,-0.525,-0.525,-0.282
unfortunately,-0.468,-0.4232,-0.35,-0.468,-0.35
unhappy,-0.532,-0.4726,-0.45,-0.532,-0.45
unsure,-0.172,-0.1348,-0.25,-0.25,-0.1348
upset,-0.766,-0.4688,-0.4,-0.766,-0.4
useless,-0.796,-0.1366,-0.45,-0.796,-0.1366
victims,-0.766,-0.2394,-0.325,-0.766,-0.2394
vile,-0.812,-0.0014,-0.775,-0.812,-0.0014
vip,0.672,-0.0096,0.575,-0.0096,0.672
w00t,0.672,0.2772,0.55,0.2772,0.672
want,0.36,-0.1676,0.075,-0.1676,0.36
waste,-0.39,-0.1398,-0.45,-0.45,-0.1398
wasted,-0.484,-0.185,-0.55,-0.55,-0.185
welcome,0.484,0.4598,0.5,0.4598,0.5
well,0.468,0.3106,0.275,0.0482,0.468
wish,0.578,-0.262,0.425,-0.262,0.578
woeful,-0.438,-0.3484,-0.475,-0.475,-0.3484
won,0.626,0.0972,0.675,0.0972,0.675
wonderful,0.844,0.3118,0.675,0.3118,0.844
woo,0.578,0.2314,0.525,0.2314,0.578
woohoo,0.796,0.2814,0.575,0.2814,0.796
woot,0.688,0.2986,0.45,0.2986,0.688
worried,-0.328,-0.3116,-0.3,-0.328,-0.3
worse,-0.454,-0.2834,-0.525,-0.525,-0.2834
worst,-0.718,-0.375,-0.775,-0.775,-0.375
worthless,-0.688,-0.139,-0.475,-0.688,-0.139
wow,0.734,0.082,0.7,0.082,0.734
wrong,-0.454,-0.1792,-0.525,-0.525,-0.1792
xoxo,0.718,0.188,0.75,0.188,0.75
yay,0.516,0.2452,0.6,0.2452,0.6
yeah,0.718,0.0628,0.3,0.0628,0.718
yep,0.344,0.133,0.3,0.133,0.344
yes,0.5,0.1642,0.425,0.1642,0.5
yummy,0.704,0.2526,0.6,0.2526,0.704
